handle,sku,vendor,title,status,product_type,has_ebay,reason
bv-david-webb-18k-yellow-gold-carved-jade-pendant-and-a-brooch-rr8489,RR8489,David Webb,David Webb 18K Yellow Gold Carved Jade Pendant And A Brooch,ACTIVE,Brooches,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-checkerboard-cut-rock-crystal-pendant-brooch-rr8488,RR8488,David Webb,"David Webb Platinum & 18K Yellow Gold Checkerboard Cut Rock Crystal Pendant, Brooch",ACTIVE,Brooches,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-coral-diamonds-black-enamel-necklace-rr7770,RR7770,David Webb,"David Webb Platinum & 18K Yellow Gold Coral, Diamonds, Black Enamel Necklace",ACTIVE,Necklaces,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-carved-smooth-purple-amethyst-green-enamel-and-diamond-ring-rr7709,RR7709,David Webb,"David Webb Platinum & 18K Yellow Gold Carved Smooth Purple Amethyst, Green Enamel And Diamond Ring",ACTIVE,Rings,true,already-tagged-and-conditioned
bv-buccellati-18k-yellow-gold-16-string-coral-pearl-diamond-clasp-necklace-rr6700,RR6700,Buccellati,"Buccellati 18K Yellow Gold 16 String Coral, Pearl Diamond Clasp Necklace",ACTIVE,Necklaces,true,already-tagged-and-conditioned
bv-david-webb-maltese-cr-18k-yellow-gold-large-diamond-and-green-enamel-pendant-rr3467,RR3467,David Webb,David Webb Maltese Cr 18K Yellow Gold Large Diamond And Green Enamel Pendant,ACTIVE,Pendants,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-cabochon-amethyst-and-diamond-cocktail-ring-rr8486,RR8486,David Webb,David Webb Platinum & 18K Yellow Gold Cabochon Amethyst And Diamond Cocktail Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-hermes-18k-white-gold-4-carat-diamond-galop-horse-ring-rr8473,RR8473,Hermès,Hermès 18K White Gold 4 Carat Diamond Galop Horse Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-18k-yellow-gold-champagne-round-diamond-cocktail-ring-rr8465,RR8465,David Webb,David Webb 18K Yellow Gold Champagne Round Diamond Cocktail Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-cocktail-diamond-fluted-ring-rr8464,RR8464,David Webb,David Webb Platinum & 18K Yellow Gold Cocktail Diamond Fluted Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-diamond-dome-round-clip-on-earrings-rr8463,RR8463,David Webb,David Webb Platinum & 18K Yellow Gold Diamond Dome Round Clip On Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-coral-drop-day-to-night-dangling-earrings-rr8431,RR8431,David Webb,David Webb Platinum & 18K Yellow Gold Coral Drop Day To Night Dangling Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-black-enamel-diamond-and-pearl-earrings-rr8250,RR8250,David Webb,"David Webb Platinum & 18K Yellow Gold Black Enamel, Diamond And Pearl Earrings",ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-36-carats-diamond-chandelier-earrings-rr8427,RR8427,David Webb,David Webb Platinum 36 Carats Diamond Chandelier Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-girandole-carved-emerald-and-diamond-dangle-earrings-rr8426,RR8426,David Webb,David Webb Girandole Carved Emerald And Diamond Dangle Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-enamel-diamonds-green-emeralds-leopard-bracelet-rr8425,RR8425,David Webb,"David Webb Platinum & 18K Yellow Gold Enamel, Diamonds Green Emeralds Leopard Bracelet",ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-david-webb-18k-yellow-gold-rickrack-turquoise-diamond-white-enamel-cuff-bracelet-rr8424,RR8424,David Webb,"David Webb 18K Yellow Gold Rickrack Turquoise, Diamond, White Enamel Cuff Bracelet",ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-cartier-18k-white-gold-clash-diamond-and-black-onyx-earrings-rr8248,RR8248,Cartier,Cartier 18K White Gold Clash Diamond And Black Onyx Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-fluted-almonds-white-enamel-and-diamond-earrings-rr8246,RR8246,David Webb,David Webb Fluted Almonds White Enamel And Diamond Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-checkmate-5-50-carat-diamond-ring-rr8233,RR8233,David Webb,David Webb Platinum & 18K Yellow Gold Checkmate 5.50 Carat Diamond Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-tiffany-co-18k-yellow-gold-cummings-positive-negative-earrings-rr8417,RR8417,Tiffany & Co.,Tiffany & Co. 18K Yellow Gold Cummings Positive & Negative Earrings,ACTIVE,Earrings,true,sku-already-ebay:tiffany-co-18k-yellow-gold-cummings-positive-negative-earrings-rr8417
bv-tiffany-co-schlumberger-platinum-18k-yellow-gold-butterfly-motif-bracelet-rr8405,RR8405,Tiffany & Co.,Tiffany & Co. Schlumberger Platinum & 18K Yellow Gold Butterfly Motif Bracelet,ACTIVE,Bracelets,true,already-tagged-and-conditioned
bv-cartier-18k-white-gold-diamond-panthere-with-tassels-on-a-signature-chain-necklace-rr8396,RR8396,Cartier,Cartier 18K White Gold Diamond Panthere With Tassels On A Signature Chain Necklace,ACTIVE,Necklaces,true,already-tagged-and-conditioned
bv-chopard-18k-white-gold-1970s,RR8379,Chopard,Pre-Owned Chopard 18K Yellow Gold 1970's Bark Finish Lapis Dial 1970's Wrist Women Watch,ACTIVE,Watch,true,watch
bv-david-webb-platinum-18k-yellow-gold-jade-teardrop-dangling-clip-on-earrings-rr8377,RR8377,David Webb,David Webb Platinum & 18K Yellow Gold Jade Teardrop Dangling Clip On Earrings,ACTIVE,Earrings,true,already-tagged-and-conditioned
bv-bvlgari-platinum-1960s-diamond-setting-for-a-brooch-rr6973,RR6973,Bvlgari,Bvlgari Platinum 1960's Diamond Setting For A Brooch,ACTIVE,Brooches,true,already-tagged-and-conditioned
bv-david-webb-18k-yellow-gold-zigzag-hammered-ring-rr8369,RR8369,David Webb,David Webb 18K Yellow Gold Zigzag Hammered Ring,ACTIVE,Rings,true,already-tagged-and-conditioned
bv-david-webb-platinum-18k-yellow-gold-green-enamel-diamond-and-ruby-frog-bracelet-rr8247,RR8247,David Webb,"David Webb Platinum & 18K Yellow Gold Green Enamel, Diamond And Ruby Frog Bracelet",ACTIVE,Bracelets,true,already-tagged-and-conditioned
