id,handle,title,vendor,product_type,status,sku,qty,price,published,image_count,has_ebay_tag,has_backvault,has_lab_grown,ebay_condition,condition,tags
gid://shopify/Product/7633243996231,bv-buccellati-18k-yellow-gold-16-string-coral-pearl-diamond-clasp-necklace-rr6700,"Buccellati 18K Yellow Gold 16 String Coral, Pearl Diamond Clasp Necklace",Buccellati,Necklaces,ACTIVE,RR6700,1,23900.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Buccellati|designer-jewelry|ebay|Necklaces
gid://shopify/Product/7633244061767,bv-david-webb-maltese-cr-18k-yellow-gold-large-diamond-and-green-enamel-pendant-rr3467,David Webb Maltese Cr 18K Yellow Gold Large Diamond And Green Enamel Pendant,David Webb,Pendants,ACTIVE,RR3467,1,28300.00,true,4,true,true,false,3000,Mint pre-owned condition; signed and authenticated,antique-estate|backvault-feed|Circa 1960|David Webb|designer-jewelry|ebay|Pendants
gid://shopify/Product/7633244094535,bv-david-webb-platinum-18k-yellow-gold-cabochon-amethyst-and-diamond-cocktail-ring-rr8486,David Webb Platinum & 18K Yellow Gold Cabochon Amethyst And Diamond Cocktail Ring,David Webb,Rings,ACTIVE,RR8486,1,20900.00,true,7,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|ebay|Rings
gid://shopify/Product/7633244127303,bv-hermes-18k-white-gold-4-carat-diamond-galop-horse-ring-rr8473,Hermès 18K White Gold 4 Carat Diamond Galop Horse Ring,Hermès,Rings,ACTIVE,RR8473,1,68700.00,true,10,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|designer-jewelry|ebay|Hermès|Rings
gid://shopify/Product/7633244160071,bv-david-webb-18k-yellow-gold-champagne-round-diamond-cocktail-ring-rr8465,David Webb 18K Yellow Gold Champagne Round Diamond Cocktail Ring,David Webb,Rings,ACTIVE,RR8465,1,20000.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|ebay|Modern|Rings
gid://shopify/Product/7633244225607,bv-david-webb-platinum-18k-yellow-gold-cocktail-diamond-fluted-ring-rr8464,David Webb Platinum & 18K Yellow Gold Cocktail Diamond Fluted Ring,David Webb,Rings,ACTIVE,RR8464,1,23200.00,true,9,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|ebay|Rings
gid://shopify/Product/7633244291143,bv-david-webb-platinum-18k-yellow-gold-diamond-dome-round-clip-on-earrings-rr8463,David Webb Platinum & 18K Yellow Gold Diamond Dome Round Clip On Earrings,David Webb,Earrings,ACTIVE,RR8463,1,16700.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633244389447,bv-david-webb-platinum-18k-yellow-gold-coral-drop-day-to-night-dangling-earrings-rr8431,David Webb Platinum & 18K Yellow Gold Coral Drop Day To Night Dangling Earrings,David Webb,Earrings,ACTIVE,RR8431,1,28400.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633244422215,bv-david-webb-platinum-18k-yellow-gold-black-enamel-diamond-and-pearl-earrings-rr8250,"David Webb Platinum & 18K Yellow Gold Black Enamel, Diamond And Pearl Earrings",David Webb,Earrings,ACTIVE,RR8250,1,28400.00,true,4,true,true,false,3000,Very Good pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
gid://shopify/Product/7633244454983,bv-david-webb-platinum-36-carats-diamond-chandelier-earrings-rr8427,David Webb Platinum 36 Carats Diamond Chandelier Earrings,David Webb,Earrings,ACTIVE,RR8427,1,114200.00,true,4,true,true,false,3000,Excellent pre-owned condition; signed and authenticated,antique-estate|backvault-feed|David Webb|designer-jewelry|Earrings|ebay
