sku,qty,status,vendor,title,handle,has_ebay,tags
3204,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust II 116333,w-3204,True,"116333,Datejust II,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3206,0,ARCHIVED,ROLEX,Rolex Yachtmaster 126622,w-3206,True,"126622,ebay,lmny-feed,papers-only,RETAIL READY,Rolex,Watches,Yachtmaster"
3208,0,ARCHIVED,ROLEX,Pre-Owned Rolex Precision 6494,w-3208,False,"6494,lmny-feed,naked,Pre-Owned Watches,Precision,Rolex,Watches"
3211,0,ARCHIVED,ROLEX,Pre-Owned Rolex Lady Date Just 6517,w-3211,False,"6517,Lady Date Just,lmny-feed,naked,Pre-Owned Watches,Rolex,Watches"
3212,0,ARCHIVED,ROLEX,Pre-Owned Rolex Lady Date Just 6517,w-3212,False,"6517,Lady Date Just,lmny-feed,naked,Pre-Owned Watches,Rolex,Watches"
3213,0,ARCHIVED,ROLEX,Pre-Owned Rolex Lady Date Just 6517,w-3213,True,"6517,ebay,Lady Date Just,lmny-feed,naked,Pre-Owned Watches,Rolex,Watches"
3215,0,ARCHIVED,ROLEX,Pre-Owned Rolex Precision 6694,w-3215,True,"6694,ebay,lmny-feed,naked,Pre-Owned Watches,Precision,Rolex,Watches"
3216,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oyster Precision 6426,w-3216,True,"6426,ebay,lmny-feed,naked,Oyster Precision,Pre-Owned Watches,Rolex,Watches"
3219,0,ARCHIVED,ROLEX,Pre-Owned Rolex Oyster Precision 6426,w-3219,True,"6426,ebay,lmny-feed,naked,Oyster Precision,Pre-Owned Watches,Rolex,Watches"
3228,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 126334,w-3228,True,"126334,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3229,0,ARCHIVED,ROLEX,Rolex Datejust 126331,w-3229,True,"126331,Datejust,ebay,lmny-feed,papers-only,RETAIL READY,Rolex,Watches"
3232,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust II 116333,w-3232,True,"116333,Datejust II,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
3241,0,ARCHIVED,ROLEX,Pre-Owned Rolex Datejust 178313,w-3241,True,"178313,Datejust,ebay,lmny-feed,papers-only,Pre-Owned Watches,Rolex,Watches"
