#INFO,Version=1.0.0,,Template=eBay-taxonomy-mapping-template_US,
#INFO,Set A,,Set B,
Custom Label (SKU),Item Photo URL,Title,Category,Aspects
w-8827,https://cdn.shopify.com/s/files/1/1727/2565/files/8827.jpg,Rolex Oyster Perpetual 6718 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Oyster Perpetual|Reference Number=6718|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-8839,https://cdn.shopify.com/s/files/1/1727/2565/files/8839_19f624f1-d718-48ae-9275-84dfc3a0cbc1.jpg,Rolex Datejust 16014 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=16014|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-8841,https://cdn.shopify.com/s/files/1/1727/2565/files/8841_36e3cef5-42e2-4f1d-a2ae-272833f13ee3.jpg,Rolex Datejust 16234 Unisex Retail Ready Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=16234|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-8863,https://cdn.shopify.com/s/files/1/1727/2565/files/8863.jpg,Rolex Oyster Perpetual 1005 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Oyster Perpetual|Reference Number=1005|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-8877,https://cdn.shopify.com/s/files/1/1727/2565/files/8877.jpg,Rolex Datejust 1601 Unisex Mint Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=1601|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-8878,https://cdn.shopify.com/s/files/1/1727/2565/files/8878.jpg,Rolex Datejust 1601 Unisex Mint Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=1601|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-8880,https://cdn.shopify.com/s/files/1/1727/2565/files/8880_21b483b0-5981-4d16-8173-37c35f4cf4a0.jpg,Rolex Oyster Perpetual 67193 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Oyster Perpetual|Reference Number=67193|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=No
w-8920,https://cdn.shopify.com/s/files/1/1727/2565/files/8920_ff082e10-7325-41ff-848e-eddedc667f1a.jpg,Rolex Datejust 1601 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=1601|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-8921,https://cdn.shopify.com/s/files/1/1727/2565/files/8921_1fc3080e-7bed-4bc2-9fbb-7627c7d5193d.jpg,Rolex Datejust 1601 Unisex Pre-Owned Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=1601|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
w-8938,https://cdn.shopify.com/s/files/1/1727/2565/files/8938_adac5f25-0ba0-44ee-911d-62d0592aa60e.jpg,Rolex Datejust 1625 Unisex Mint Watch No Box/Papers,Wristwatches,Brand=Rolex|Department=Unisex Adults|Type=Wristwatch|Model=Datejust|Reference Number=1625|Condition=Pre-owned|With Original Box/Packaging=No|With Papers=No|Vintage=Yes
